Date, Precipitation (mm)
1/1/2000,15.9392
6/1/2000,24.2797
11/1/2000,50.7461
16/1/2000,28.4558
21/1/2000,25.3974
26/1/2000,14.2463
1/2/2000,0.8103
6/2/2000,26.3825
11/2/2000,44.7557
16/2/2000,54.4297
21/2/2000,94.7847
26/2/2000,39.5583
1/3/2000,24.3109
6/3/2000,29.2226
11/3/2000,38.1203
16/3/2000,22.631
21/3/2000,10.6832
26/3/2000,17.1483
1/4/2000,11.671
6/4/2000,3.2154
11/4/2000,1.192
16/4/2000,1.3726
21/4/2000,1.2973
26/4/2000,1.229
1/5/2000,0.6667
6/5/2000,0.3978
11/5/2000,0.2697
16/5/2000,0.2452
21/5/2000,0.1955
26/5/2000,0.1646
1/6/2000,0.1898
6/6/2000,0.1551
11/6/2000,0.1303
16/6/2000,0.1218
21/6/2000,0.1063
26/6/2000,0.0822
1/7/2000,0.0406
6/7/2000,0.0075
11/7/2000,0
16/7/2000,0
21/7/2000,0
26/7/2000,0
1/8/2000,0
6/8/2000,0
11/8/2000,0
16/8/2000,0
21/8/2000,0.0186
26/8/2000,0.1021
1/9/2000,0
6/9/2000,0.0017
11/9/2000,0.0358
16/9/2000,0.1397
21/9/2000,0.452
26/9/2000,0.824
1/10/2000,0.9937
6/10/2000,1.1063
11/10/2000,1.0137
16/10/2000,0.8895
21/10/2000,0.8702
26/10/2000,13.1974
1/11/2000,27.8355
6/11/2000,5.7113
11/11/2000,6.7318
16/11/2000,7.396
21/11/2000,1.7873
26/11/2000,39.5256
1/12/2000,5.3528
6/12/2000,10.5002
11/12/2000,43.8653
16/12/2000,11.4945
21/12/2000,37.7262
26/12/2000,30.9843
1/1/2001,35.1789
6/1/2001,8.3028
11/1/2001,14.5474
16/1/2001,20.1426
21/1/2001,11.4152
26/1/2001,11.2131
1/2/2001,77.4421
6/2/2001,95.8648
11/2/2001,28.7545
16/2/2001,42.5067
21/2/2001,34.9819
26/2/2001,19.2374
1/3/2001,37.3153
6/3/2001,16.6129
11/3/2001,15.9553
16/3/2001,7.6006
21/3/2001,30.2321
26/3/2001,8.7942
1/4/2001,5.7317
6/4/2001,5.1828
11/4/2001,1.1826
16/4/2001,1.8339
21/4/2001,0.9337
26/4/2001,0.9179
1/5/2001,0.433
6/5/2001,0.3037
11/5/2001,0.1871
16/5/2001,0.1601
21/5/2001,0.1421
26/5/2001,0.1203
1/6/2001,0.1865
6/6/2001,0.1458
11/6/2001,0.1282
16/6/2001,0.1217
21/6/2001,0.1077
26/6/2001,0.0814
1/7/2001,0.0406
6/7/2001,0.0075
11/7/2001,0
16/7/2001,0
21/7/2001,0
26/7/2001,0
1/8/2001,0
6/8/2001,0
11/8/2001,0
16/8/2001,0
21/8/2001,0.0191
26/8/2001,0.1017
1/9/2001,0
6/9/2001,0.0021
11/9/2001,0.0433
16/9/2001,0.1704
21/9/2001,0.5186
26/9/2001,0.9709
1/10/2001,0.448
6/10/2001,0.506
11/10/2001,0.4645
16/10/2001,1.8966
21/10/2001,3.3014
26/10/2001,11.2266
1/11/2001,17.5271
6/11/2001,17.744
11/11/2001,15.9855
16/11/2001,28.8017
21/11/2001,14.9649
26/11/2001,19.3625
1/12/2001,25.7147
6/12/2001,36.693
11/12/2001,36.735
16/12/2001,13.6047
21/12/2001,35.5117
26/12/2001,10.0657
1/1/2002,4.3249
6/1/2002,12.4572
11/1/2002,34.1458
16/1/2002,19.4424
21/1/2002,14.7706
26/1/2002,10.829
