,"(mm) Precipitation (CHIRPS) at 26.8622E,-18.1238N, 2000-01-01 to 2024-11-26"
"2000-01-01",14.8518
"2000-01-06",28.7556
"2000-01-11",47.8773
"2000-01-16",23.3381
"2000-01-21",8.9059
"2000-01-26",17.6007
"2000-02-01",0.7534
"2000-02-06",16.779
"2000-02-11",34.8264
"2000-02-16",43.9328
"2000-02-21",112.2365
"2000-02-26",44.8845
"2000-03-01",19.4409
"2000-03-06",18.999
"2000-03-11",29.9859
"2000-03-16",16.5863
"2000-03-21",15.2983
"2000-03-26",23.5462
"2000-04-01",9.2028
"2000-04-06",3.0295
"2000-04-11",1.3666
"2000-04-16",1.6474
"2000-04-21",1.3587
"2000-04-26",1.1865
"2000-05-01",1.6449
"2000-05-06",0.2374
"2000-05-11",0.1049
"2000-05-16",0.0609
"2000-05-21",0.0357
"2000-05-26",0.0091
"2000-06-01",0.0946
"2000-06-06",0.0757
"2000-06-11",0.0614
"2000-06-16",0.058
"2000-06-21",0.0484
"2000-06-26",0.0338
"2000-07-01",0.018
"2000-07-06",0.0036
"2000-07-11",0
"2000-07-16",0
"2000-07-21",0
"2000-07-26",0
"2000-08-01",0
"2000-08-06",0
"2000-08-11",0
"2000-08-16",0
"2000-08-21",0.0008
"2000-08-26",0.0082
"2000-09-01",0
"2000-09-06",0
"2000-09-11",0
"2000-09-16",0
"2000-09-21",0.1308
"2000-09-26",0.4423
"2000-10-01",0.5573
"2000-10-06",0.6106
"2000-10-11",0.5598
"2000-10-16",0.5185
"2000-10-21",1.2588
"2000-10-26",4.8499
"2000-11-01",26.9894
"2000-11-06",1.464
"2000-11-11",4.8798
"2000-11-16",8.3609
"2000-11-21",0.4305
"2000-11-26",30.8838
"2000-12-01",2.0173
"2000-12-06",11.3029
"2000-12-11",45.7675
"2000-12-16",10.1761
"2000-12-21",32.7796
"2000-12-26",24.4535
"2001-01-01",24.3161
"2001-01-06",4.4492
"2001-01-11",15.7525
"2001-01-16",24.8824
"2001-01-21",5.1049
"2001-01-26",10.597
"2001-02-01",89.0631
"2001-02-06",113.4971
"2001-02-11",40.7332
"2001-02-16",59.4006
"2001-02-21",29.6248
"2001-02-26",10.2007
"2001-03-01",43.1362
"2001-03-06",16.6871
"2001-03-11",15.653
"2001-03-16",8.3847
"2001-03-21",20.4897
"2001-03-26",3.4186
"2001-04-01",6.6614
"2001-04-06",3.3929
"2001-04-11",1.5156
"2001-04-16",0.9929
"2001-04-21",1.1247
"2001-04-26",0.8999
"2001-05-01",0.337
"2001-05-06",0.1895
"2001-05-11",0.075
"2001-05-16",0.04
"2001-05-21",0.0269
"2001-05-26",0.007
"2001-06-01",0.0933
"2001-06-06",0.0714
"2001-06-11",0.0625
"2001-06-16",0.0557
"2001-06-21",0.0475
"2001-06-26",0.0333
"2001-07-01",0.018
"2001-07-06",0.0036
"2001-07-11",0
"2001-07-16",0
"2001-07-21",0
"2001-07-26",0
"2001-08-01",0
"2001-08-06",0
"2001-08-11",0
"2001-08-16",0
"2001-08-21",0.0008
"2001-08-26",0.0082
"2001-09-01",0
"2001-09-06",0
"2001-09-11",0
"2001-09-16",0
"2001-09-21",0.1684
"2001-09-26",0.5846
"2001-10-01",0.1849
"2001-10-06",0.2047
"2001-10-11",0.1894
"2001-10-16",0.3644
"2001-10-21",1.3145
"2001-10-26",8.166
"2001-11-01",5.8505
"2001-11-06",8.939
"2001-11-11",13.2889
"2001-11-16",17.2124
"2001-11-21",9.083
"2001-11-26",20.5242
"2001-12-01",25.8061
"2001-12-06",23.1526
"2001-12-11",28.8643
"2001-12-16",14.9486
"2001-12-21",25.4585
"2001-12-26",3.3189
"2002-01-01",2.7524
"2002-01-06",11.7648
"2002-01-11",22.6038
"2002-01-16",12.0911
"2002-01-21",5.9959
"2002-01-26",6.1462
"2002-02-01",13.1386
"2002-02-06",18.7571
"2002-02-11",19.2109
"2002-02-16",11.8045
"2002-02-21",1.6407
"2002-02-26",0.6704
"2002-03-01",4.4173
"2002-03-06",2.5002
"2002-03-11",7.7446
"2002-03-16",2.3095
"2002-03-21",1.252
"2002-03-26",1.629
"2002-04-01",1.7554
"2002-04-06",1.8482
"2002-04-11",19.5958
"2002-04-16",2.8783
"2002-04-21",1.5651
"2002-04-26",1.3886
"2002-05-01",0.3416
"2002-05-06",0.1843
"2002-05-11",0.0826
"2002-05-16",0.0439
"2002-05-21",0.0291
"2002-05-26",0.0075
"2002-06-01",0.0942
"2002-06-06",0.0727
"2002-06-11",0.0617
"2002-06-16",0.0571
"2002-06-21",0.0488
"2002-06-26",0.0339
"2002-07-01",0.018
"2002-07-06",0.0036
"2002-07-11",0
"2002-07-16",0
"2002-07-21",0
"2002-07-26",0
"2002-08-01",0
"2002-08-06",0
"2002-08-11",0
"2002-08-16",0
"2002-08-21",0.0008
"2002-08-26",0.0082
"2002-09-01",0
"2002-09-06",0
"2002-09-11",0
"2002-09-16",0
"2002-09-21",0.1845
"2002-09-26",0.6289
"2002-10-01",2.914
"2002-10-06",3.7243
"2002-10-11",0.3945
"2002-10-16",0.3669
"2002-10-21",0.9808
"2002-10-26",21.3878
"2002-11-01",9.5587
"2002-11-06",10.821
"2002-11-11",1.0735
"2002-11-16",0.6806
"2002-11-21",0.5019
"2002-11-26",1.8298
"2002-12-01",1.6824
"2002-12-06",20.5192
"2002-12-11",9.3695
"2002-12-16",28.443
"2002-12-21",10.8086
"2002-12-26",2.986
"2003-01-01",2.3933
"2003-01-06",11.6168
"2003-01-11",4.0216
"2003-01-16",8.2577
"2003-01-21",16.2736
"2003-01-26",34.4251
"2003-02-01",9.4354
"2003-02-06",2.539
"2003-02-11",13.3951
"2003-02-16",28.7289
"2003-02-21",21.6241
"2003-02-26",19.8447
"2003-03-01",14.6719
"2003-03-06",2.6619
"2003-03-11",1.9186
"2003-03-16",1.431
"2003-03-21",31.3461
"2003-03-26",2.3668
"2003-04-01",9.0859
"2003-04-06",1.0631
"2003-04-11",1.0519
"2003-04-16",1.105
"2003-04-21",1.07
"2003-04-26",0.9302
"2003-05-01",0.3227
"2003-05-06",0.1816
"2003-05-11",0.086
"2003-05-16",0.0466
"2003-05-21",0.0301
"2003-05-26",0.0076
"2003-06-01",0.0986
"2003-06-06",0.0758
"2003-06-11",0.0638
"2003-06-16",0.0592
"2003-06-21",0.0508
"2003-06-26",0.0364
"2003-07-01",0.0181
"2003-07-06",0.0036
"2003-07-11",0
"2003-07-16",0
"2003-07-21",0
"2003-07-26",0
"2003-08-01",0
"2003-08-06",0
"2003-08-11",0
"2003-08-16",0
"2003-08-21",0.0008
"2003-08-26",0.0081
"2003-09-01",0
"2003-09-06",0
"2003-09-11",0
"2003-09-16",0
"2003-09-21",0.1236
"2003-09-26",0.4283
"2003-10-01",0.5923
"2003-10-06",0.6527
"2003-10-11",0.6019
"2003-10-16",20.3146
"2003-10-21",4.5049
"2003-10-26",4.7459
"2003-11-01",1.362
"2003-11-06",0.6251
"2003-11-11",4.1496
"2003-11-16",1.3778
"2003-11-21",2.9023
"2003-11-26",10.783
"2003-12-01",1.2577
"2003-12-06",17.0752
"2003-12-11",43.0261
"2003-12-16",8.777
"2003-12-21",52.4028
"2003-12-26",22.4205
"2004-01-01",13.9105
"2004-01-06",17.7137
"2004-01-11",7.8104
"2004-01-16",27.98
"2004-01-21",62.7054
"2004-01-26",50.4212
"2004-02-01",0.7151
"2004-02-06",0.8714
"2004-02-11",26.4092
"2004-02-16",11.7693
"2004-02-21",43.1876
"2004-02-26",32.3836
"2004-03-01",77.2278
"2004-03-06",31.6644
"2004-03-11",3.5183
"2004-03-16",15.3672
"2004-03-21",44.1705
"2004-03-26",29.9256
"2004-04-01",2.0918
"2004-04-06",8.4641
"2004-04-11",1.5206
"2004-04-16",2.2217
"2004-04-21",1.8332
"2004-04-26",1.2663
"2004-05-01",0.3381
"2004-05-06",0.1871
"2004-05-11",0.0849
"2004-05-16",0.0455
"2004-05-21",0.0302
"2004-05-26",0.0078
"2004-06-01",0.0928
"2004-06-06",0.0714
"2004-06-11",0.0604
"2004-06-16",0.0557
"2004-06-21",0.0478
"2004-06-26",0.0333
"2004-07-01",0.0181
"2004-07-06",0.0036
"2004-07-11",0
"2004-07-16",0
"2004-07-21",0
"2004-07-26",0
"2004-08-01",0
"2004-08-06",0
"2004-08-11",0
"2004-08-16",0
"2004-08-21",0.0008
"2004-08-26",0.0083
"2004-09-01",0
"2004-09-06",0
"2004-09-11",0
"2004-09-16",0
"2004-09-21",0.1251
"2004-09-26",0.4221
"2004-10-01",0.3083
"2004-10-06",0.3402
"2004-10-11",4.4339
"2004-10-16",0.295
"2004-10-21",0.3125
"2004-10-26",0.3626
"2004-11-01",0.6034
"2004-11-06",2.357
"2004-11-11",0.4863
"2004-11-16",0.7041
"2004-11-21",11.361
"2004-11-26",0.59
"2004-12-01",8.7361
"2004-12-06",98.5639
"2004-12-11",5.2567
"2004-12-16",1.8384
"2004-12-21",12.9923
"2004-12-26",7.9484
"2005-01-01",8.7375
"2005-01-06",3.693
"2005-01-11",8.4991
"2005-01-16",35.9166
"2005-01-21",49.3466
"2005-01-26",27.4947
"2005-02-01",0.5316
"2005-02-06",0.5396
"2005-02-11",12.4369
"2005-02-16",20.1173
"2005-02-21",8.1958
"2005-02-26",0.7249
"2005-03-01",2.0931
"2005-03-06",2.7962
"2005-03-11",10.3323
"2005-03-16",2.1443
"2005-03-21",2.9917
"2005-03-26",24.6404
"2005-04-01",12.4354
"2005-04-06",1.4642
"2005-04-11",1.0914
"2005-04-16",1.0926
"2005-04-21",1.0627
"2005-04-26",0.9388
"2005-05-01",0.3328
"2005-05-06",0.1907
"2005-05-11",0.0846
"2005-05-16",0.0478
"2005-05-21",0.0307
"2005-05-26",0.008
"2005-06-01",0.0926
"2005-06-06",0.0715
"2005-06-11",0.0609
"2005-06-16",0.0567
"2005-06-21",0.0474
"2005-06-26",0.0335
"2005-07-01",0.0177
"2005-07-06",0.0035
"2005-07-11",0
"2005-07-16",0
"2005-07-21",0
"2005-07-26",0
"2005-08-01",0
"2005-08-06",0
"2005-08-11",0
"2005-08-16",0
"2005-08-21",0.0008
"2005-08-26",0.008
"2005-09-01",0
"2005-09-06",0
